COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A5_CNT,A0A5_M_CNT,A0A5_F_CNT,A6A11_CNT,A6A11_M_CNT,A6A11_F_CNT,A12A17_CNT,A12A17_M_CNT,A12A17_F_CNT,INFO_TIME
┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,0-5╖│ир╡гдHдf╝╞,0-5╖│ир╡гиkй╩дHдf╝╞,0-5╖│ир╡гдkй╩дHдf╝╞,6-11╖│ир╡гдHдf╝╞,6-11╖│ир╡гиkй╩дHдf╝╞,6-11╖│ир╡гдkй╩дHдf╝╞,12-17╖│д╓ж~дHдf╝╞,12-17╖│д╓ж~иkй╩дHдf╝╞,12-17╖│д╓ж~дkй╩дHдf╝╞,╕ъо╞о╔╢б
10002,йy─ї┐д,10002100,дTмP╢m,10002100-005,дHйMз°,10,5,5,23,14,9,27,12,15,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-017,дjмwз°,45,20,25,58,28,30,124,73,51,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-015,дj╕qз°,36,20,16,30,13,17,48,22,26,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-010,дj┴Їз°,183,97,86,139,66,73,269,143,126,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-002,д╤дsз°,19,14,5,19,8,11,34,17,17,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-003,д╤║╓з°,31,15,16,34,20,14,44,23,21,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-008,дым▄з°,32,20,12,45,29,16,72,36,36,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-011,жц░╖з°,34,14,20,21,18,3,56,29,27,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-018,з└╣╒з°,40,24,16,55,30,25,131,76,55,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-016,й|кZз°,29,12,17,21,10,11,34,25,9,"105Y12M"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-009,л¤╖╙з°,42,20,22,28,19,9,84,40,44,"105Y12M"
