TAG,COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,FLD07,FLD08,INFO_TIME
標籤,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,資料時間
,63000,臺北市,63000010,松山區,63000010-027,中崙里,1441,2006453,1392,858,440,1645,2152.12,154.56,"106Y"
,63000,臺北市,63000010,松山區,63000010-021,自強里,3164,4318335,1365,831,411,1634,2765.43,202.62,"106Y"
,63000,臺北市,63000010,松山區,63000010-020,鵬程里,1812,2213874,1222,743,399,1524,1797.44,147.12,"106Y"
,63000,臺北市,63000010,松山區,63000010-003,東榮里,2924,5324060,1821,905,430,1972,4545.5,249.64,"106Y"
,63000,臺北市,63000010,松山區,63000010-009,介壽里,1574,2709308,1721,887,434,1893,6484.75,376.74,"106Y"
,63000,臺北市,63000010,松山區,63000010-014,東勢里,1611,2452431,1522,787,387,1616,6483.4,425.89,"106Y"
,63000,臺北市,63000010,松山區,63000010-011,東光里,2623,3437011,1310,764,386,1533,2162.53,165.04,"106Y"
,63000,臺北市,63000010,松山區,63000010-026,中正里,3499,6200033,1772,986,475,2008,3528.93,199.16,"106Y"
,63000,臺北市,63000010,松山區,63000010-025,復盛里,2288,2564720,1121,712,374,1329,2552.19,227.68,"106Y"
,63000,臺北市,63000010,松山區,63000010-033,復勢里,2328,2956630,1270,786,401,1562,1634.3,128.68,"106Y"
,63000,臺北市,63000010,松山區,63000010-028,美仁里,1249,1800971,1442,837,403,1742,1965.98,136.34,"106Y"
,63000,臺北市,63000010,松山區,63000010-029,吉仁里,1415,1903364,1345,783,399,1607,2490.68,185.16,"106Y"
,63000,臺北市,63000010,松山區,63000010-010,精忠里,1569,3386169,2158,951,448,1929,11072.03,513.03,"106Y"
,63000,臺北市,63000010,松山區,63000010-013,東昌里,933,6608936,7084,916,425,1845,78187.35,1103.79,"106Y"
,63000,臺北市,63000010,松山區,63000010-034,福成里,953,1616986,1697,879,398,1948,3018.44,177.9,"106Y"
,63000,臺北市,63000010,松山區,63000010-015,中華里,2344,4770007,2035,952,459,2084,8131.62,399.59,"106Y"
,63000,臺北市,63000010,松山區,63000010-022,吉祥里,3201,4105435,1283,760,402,1530,3126.62,243.78,"106Y"
,63000,臺北市,63000010,松山區,63000010-007,新東里,1750,2026890,1158,773,397,1433,1380.05,119.15,"106Y"
,63000,臺北市,63000010,松山區,63000010-004,三民里,2515,3483080,1385,795,394,1556,3397.33,245.31,"106Y"
,63000,臺北市,63000010,松山區,63000010-032,復建里,1624,2144929,1321,871,438,1672,1432.27,108.44,"106Y"
,63000,臺北市,63000010,松山區,63000010-030,敦化里,2529,4036242,1596,869,446,1652,5621.29,352.21,"106Y"
,63000,臺北市,63000010,松山區,63000010-019,安平里,2932,2952090,1007,681,374,1266,1131.08,112.34,"106Y"
